,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,注文ID,顧客ID(注文),注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額
43,C00022,2025-05-02,佐藤 大和,customer00022@example.jp,福岡県,北九州市,中小企業,紹介,シルバー,有,300～500万円,O000652,C00022,2025-04-15,配達完了,モール,クレジットカード,福岡県,,1122.13,0.0,0.0,1122.13
44,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,O000039,C00023,2025-02-28,配達完了,モバイルアプリ,クレジットカード,千葉県,,672.14,0.0,0.0,672.14
45,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,O000356,C00023,2024-09-03,配達完了,モバイルアプリ,コンビニ払い,千葉県,SPRING15,919.51,137.93,0.0,781.58
46,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,O000399,C00023,2024-11-06,配達完了,ウェブ,クレジットカード,千葉県,,1083.92,0.0,0.0,1083.92
47,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,O000587,C00023,2025-04-25,配達完了,ウェブ,コンビニ払い,千葉県,VIP20,44.86,8.97,5.9,41.79
48,C00023,2023-09-06,高橋 樹,customer00023@example.jp,千葉県,船橋市,中小企業,自然検索,ブロンズ,有,500～800万円,O000625,C00023,2024-11-18,配達完了,営業担当,クレジットカード,千葉県,B2B5,910.99,45.55,0.0,865.44
49,C00024,2023-02-02,渡辺 大和,customer00024@example.jp,福岡県,北九州市,個人,自然検索,シルバー,有,500～800万円,O000718,C00024,2025-10-06,配達完了,営業担当,スマホ決済,福岡県,SPRING15,1261.07,189.16,0.0,1071.91
50,C00025,2024-07-17,山本 さくら,customer00025@example.jp,福岡県,福岡市,個人,紹介,シルバー,有,300～500万円,O000168,C00025,2024-04-14,配達完了,営業担当,スマホ決済,福岡県,WELCOME10,698.21,69.82,0.0,628.39
51,C00025,2024-07-17,山本 さくら,customer00025@example.jp,福岡県,福岡市,個人,紹介,シルバー,有,300～500万円,O000275,C00025,2024-08-10,配達完了,モバイルアプリ,スマホ決済,福岡県,,813.81,0.0,0.0,813.81
52,C00025,2024-07-17,山本 さくら,customer00025@example.jp,福岡県,福岡市,個人,紹介,シルバー,有,300～500万円,O000571,C00025,2024-10-14,配達完了,モバイルアプリ,クレジットカード,福岡県,,1130.4,0.0,0.0,1130.4
53,C00026,2025-12-19,佐藤 芽依,customer00026@example.jp,千葉県,柏市,個人,広告検索,ブロンズ,無,300～500万円,O000140,C00026,2024-12-26,配達完了,モバイルアプリ,コンビニ払い,千葉県,,1243.29,0.0,0.0,1243.29
54,C00027,2025-07-12,渡辺 葵,customer00027@example.jp,大阪府,吹田市,個人,SNS,ブロンズ,有,300万円未満,O000022,C00027,2025-07-10,返品済み,モバイルアプリ,スマホ決済,大阪府,,705.39,0.0,0.0,705.39
55,C00027,2025-07-12,渡辺 葵,customer00027@example.jp,大阪府,吹田市,個人,SNS,ブロンズ,有,300万円未満,O000187,C00027,2025-01-09,配達完了,ウェブ,クレジットカード,大阪府,,576.81,0.0,0.0,576.81
56,C00027,2025-07-12,渡辺 葵,customer00027@example.jp,大阪府,吹田市,個人,SNS,ブロンズ,有,300万円未満,O000462,C00027,2025-09-14,処理中,モール,クレジットカード,大阪府,FREESHIP,1286.4,0.0,0.0,1286.4
57,C00028,2025-07-05,山本 大和,customer00028@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,500～800万円,O000250,C00028,2025-03-07,配達完了,ウェブ,スマホ決済,千葉県,SPRING15,1079.47,161.92,0.0,917.55
58,C00028,2025-07-05,山本 大和,customer00028@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,500～800万円,O000299,C00028,2024-03-23,配達完了,ウェブ,スマホ決済,千葉県,,1276.41,0.0,0.0,1276.41
59,C00028,2025-07-05,山本 大和,customer00028@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,500～800万円,O000436,C00028,2024-11-10,配達完了,モバイルアプリ,クレジットカード,千葉県,,802.32,0.0,0.0,802.32
60,C00028,2025-07-05,山本 大和,customer00028@example.jp,千葉県,千葉市,個人,自然検索,シルバー,有,500～800万円,O000667,C00028,2025-11-22,配達完了,ウェブ,スマホ決済,千葉県,SPRING15,1068.74,160.31,0.0,908.43
61,C00029,2024-04-08,田中 陽葵,customer00029@example.jp,福岡県,北九州市,中小企業,SNS,プラチナ,有,300万円未満,O000518,C00029,2025-09-30,処理中,モバイルアプリ,銀行振込,福岡県,,479.2,0.0,0.0,479.2
62,C00030,2023-03-29,渡辺 さくら,customer00030@example.jp,大阪府,吹田市,中小企業,自然検索,シルバー,有,"800～1,200万円",O000185,C00030,2024-01-07,配達完了,モバイルアプリ,クレジットカード,大阪府,,1328.37,0.0,0.0,1328.37
63,C00030,2023-03-29,渡辺 さくら,customer00030@example.jp,大阪府,吹田市,中小企業,自然検索,シルバー,有,"800～1,200万円",O000392,C00030,2025-05-19,配達完了,ウェブ,スマホ決済,大阪府,,1240.9,0.0,0.0,1240.9
64,C00031,2025-05-27,鈴木 悠真,customer00031@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,O000114,C00031,2024-12-06,配達完了,ウェブ,クレジットカード,東京都,,780.51,0.0,0.0,780.51
65,C00031,2025-05-27,鈴木 悠真,customer00031@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,O000607,C00031,2024-03-27,配達完了,ウェブ,クレジットカード,東京都,,713.55,0.0,0.0,713.55
66,C00031,2025-05-27,鈴木 悠真,customer00031@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,O000695,C00031,2025-07-08,配達完了,ウェブ,銀行振込,東京都,,331.3,0.0,0.0,331.3
67,C00031,2025-05-27,鈴木 悠真,customer00031@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300万円未満,O000720,C00031,2025-10-29,配達完了,モバイルアプリ,スマホ決済,東京都,SPRING15,1378.9,206.84,0.0,1172.06
68,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000068,C00032,2025-05-20,配達完了,モール,銀行振込,北海道,,584.95,0.0,0.0,584.95
69,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000214,C00032,2025-06-07,配達完了,ウェブ,クレジットカード,北海道,,1312.78,0.0,0.0,1312.78
70,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000366,C00032,2025-09-02,配達完了,ウェブ,銀行振込,北海道,,1032.59,0.0,0.0,1032.59
71,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000562,C00032,2025-04-29,配達完了,ウェブ,銀行振込,北海道,,1207.74,0.0,0.0,1207.74
72,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000644,C00032,2025-10-22,配達完了,モバイルアプリ,コンビニ払い,北海道,FREESHIP,163.6,0.0,0.0,163.6
73,C00032,2023-05-18,渡辺 葵,customer00032@example.jp,北海道,函館市,個人,SNS,ゴールド,有,300万円未満,O000702,C00032,2025-10-27,配達完了,モバイルアプリ,クレジットカード,北海道,,549.42,0.0,0.0,549.42
74,C00033,2023-03-07,鈴木 悠真,customer00033@example.jp,東京都,世田谷区,個人,広告検索,シルバー,無,500～800万円,,,,,,,,,,,,
75,C00034,2023-06-21,渡辺 蓮,customer00034@example.jp,千葉県,柏市,個人,自然検索,ブロンズ,有,"800～1,200万円",O000201,C00034,2024-08-19,配達完了,モバイルアプリ,クレジットカード,千葉県,,761.01,0.0,0.0,761.01
76,C00035,2023-09-23,高橋 陽翔,customer00035@example.jp,北海道,函館市,個人,広告検索,ブロンズ,有,500～800万円,O000334,C00035,2025-06-15,配達完了,ウェブ,クレジットカード,北海道,,43.37,0.0,5.9,49.27
77,C00036,2024-03-15,佐藤 葵,customer00036@example.jp,福岡県,北九州市,中小企業,広告検索,ブロンズ,有,500～800万円,,,,,,,,,,,,
78,C00037,2022-01-14,高橋 凛,customer00037@example.jp,神奈川県,川崎市,個人,広告検索,ゴールド,無,300万円未満,,,,,,,,,,,,
79,C00038,2022-06-10,田中 陽葵,customer00038@example.jp,東京都,新宿区,個人,自然検索,シルバー,有,"1,200万円以上",O000029,C00038,2024-07-03,配達完了,モバイルアプリ,スマホ決済,東京都,,642.35,0.0,0.0,642.35
80,C00039,2024-04-27,鈴木 蓮,customer00039@example.jp,千葉県,柏市,個人,紹介,ブロンズ,有,"800～1,200万円",O000044,C00039,2024-04-10,発送済み,ウェブ,銀行振込,千葉県,,172.1,0.0,0.0,172.1
81,C00039,2024-04-27,鈴木 蓮,customer00039@example.jp,千葉県,柏市,個人,紹介,ブロンズ,有,"800～1,200万円",O000673,C00039,2025-12-12,配達完了,ウェブ,スマホ決済,千葉県,VIP20,1127.43,225.49,0.0,901.94
82,C00040,2025-02-17,渡辺 凛,customer00040@example.jp,東京都,千代田区,中小企業,紹介,ブロンズ,有,500～800万円,O000591,C00040,2024-06-04,配達完了,ウェブ,クレジットカード,東京都,,1421.34,0.0,0.0,1421.34
83,C00041,2024-04-04,鈴木 芽依,customer00041@example.jp,愛知県,名古屋市,中小企業,SNS,シルバー,有,300～500万円,O000685,C00041,2025-07-13,配達完了,ウェブ,クレジットカード,愛知県,WELCOME10,114.72,11.47,5.9,109.15
84,C00042,2024-03-17,渡辺 葵,customer00042@example.jp,愛知県,岡崎市,中小企業,SNS,ブロンズ,有,500～800万円,,,,,,,,,,,,
85,C00043,2022-12-27,佐藤 樹,customer00043@example.jp,東京都,渋谷区,中小企業,自然検索,ブロンズ,無,"800～1,200万円",,,,,,,,,,,,
86,C00044,2025-07-22,田中 さくら,customer00044@example.jp,東京都,世田谷区,個人,広告検索,シルバー,無,500～800万円,,,,,,,,,,,,
87,C00045,2023-11-29,佐藤 大和,customer00045@example.jp,神奈川県,川崎市,個人,自然検索,ゴールド,無,500～800万円,,,,,,,,,,,,
88,C00046,2023-04-04,佐藤 悠真,customer00046@example.jp,福岡県,北九州市,個人,広告検索,ブロンズ,有,300万円未満,,,,,,,,,,,,
89,C00047,2025-06-10,田中 凛,customer00047@example.jp,福岡県,福岡市,大企業,店頭,シルバー,有,300～500万円,O000070,C00047,2025-08-09,配達完了,ウェブ,銀行振込,福岡県,,405.27,0.0,0.0,405.27
90,C00047,2025-06-10,田中 凛,customer00047@example.jp,福岡県,福岡市,大企業,店頭,シルバー,有,300～500万円,O000280,C00047,2024-10-11,キャンセル,ウェブ,スマホ決済,福岡県,VIP20,662.63,132.53,0.0,530.1
91,C00047,2025-06-10,田中 凛,customer00047@example.jp,福岡県,福岡市,大企業,店頭,シルバー,有,300～500万円,O000304,C00047,2025-06-15,配達完了,ウェブ,クレジットカード,福岡県,,1389.78,0.0,0.0,1389.78
92,C00047,2025-06-10,田中 凛,customer00047@example.jp,福岡県,福岡市,大企業,店頭,シルバー,有,300～500万円,O000683,C00047,2024-12-29,配達完了,モバイルアプリ,銀行振込,福岡県,FREESHIP,230.88,0.0,0.0,230.88
93,C00048,2022-03-22,山本 陽葵,customer00048@example.jp,千葉県,柏市,個人,自然検索,シルバー,有,"800～1,200万円",O000382,C00048,2024-04-10,返品済み,ウェブ,コンビニ払い,千葉県,FREESHIP,873.55,0.0,0.0,873.55
94,C00048,2022-03-22,山本 陽葵,customer00048@example.jp,千葉県,柏市,個人,自然検索,シルバー,有,"800～1,200万円",O000460,C00048,2025-12-23,配達完了,モール,コンビニ払い,千葉県,,516.55,0.0,0.0,516.55
95,C00048,2022-03-22,山本 陽葵,customer00048@example.jp,千葉県,柏市,個人,自然検索,シルバー,有,"800～1,200万円",O000498,C00048,2024-08-04,配達完了,モバイルアプリ,クレジットカード,千葉県,B2B5,608.3,30.41,0.0,577.89
96,C00048,2022-03-22,山本 陽葵,customer00048@example.jp,千葉県,柏市,個人,自然検索,シルバー,有,"800～1,200万円",O000656,C00048,2024-08-17,配達完了,モバイルアプリ,クレジットカード,千葉県,,1353.36,0.0,0.0,1353.36
97,C00049,2024-10-21,佐藤 さくら,customer00049@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,有,300～500万円,,,,,,,,,,,,
98,C00050,2022-03-09,中村 湊,customer00050@example.jp,東京都,渋谷区,個人,広告検索,ブロンズ,有,300～500万円,O000076,C00050,2025-06-19,配達完了,モバイルアプリ,コンビニ払い,東京都,,1447.7,0.0,0.0,1447.7
99,C00050,2022-03-09,中村 湊,customer00050@example.jp,東京都,渋谷区,個人,広告検索,ブロンズ,有,300～500万円,O000080,C00050,2025-01-09,返品済み,営業担当,スマホ決済,東京都,WELCOME10,472.75,47.28,0.0,425.47
100,C00051,2022-09-16,高橋 結菜,customer00051@example.jp,神奈川県,川崎市,個人,自然検索,シルバー,有,300～500万円,O000018,C00051,2025-02-01,配達完了,ウェブ,スマホ決済,神奈川県,,1399.52,0.0,0.0,1399.52
101,C00051,2022-09-16,高橋 結菜,customer00051@example.jp,神奈川県,川崎市,個人,自然検索,シルバー,有,300～500万円,O000372,C00051,2025-12-24,配達完了,ウェブ,クレジットカード,神奈川県,SPRING15,947.45,142.12,0.0,805.33
102,C00051,2022-09-16,高橋 結菜,customer00051@example.jp,神奈川県,川崎市,個人,自然検索,シルバー,有,300～500万円,O000446,C00051,2025-08-08,配達完了,モバイルアプリ,銀行振込,神奈川県,,802.12,0.0,0.0,802.12
103,C00052,2024-10-02,高橋 湊,customer00052@example.jp,千葉県,船橋市,中小企業,広告検索,ブロンズ,有,500～800万円,O000329,C00052,2024-06-17,配達完了,モバイルアプリ,スマホ決済,千葉県,B2B5,1351.96,67.6,0.0,1284.36
104,C00053,2025-07-17,鈴木 結菜,customer00053@example.jp,北海道,函館市,個人,自然検索,ゴールド,無,300万円未満,,,,,,,,,,,,
105,C00054,2025-07-18,伊藤 悠真,customer00054@example.jp,北海道,旭川市,個人,紹介,ブロンズ,有,500～800万円,O000560,C00054,2024-11-28,キャンセル,モバイルアプリ,請求書払い,北海道,VIP20,528.26,105.65,0.0,422.61
106,C00055,2025-07-03,渡辺 陽翔,customer00055@example.jp,神奈川県,相模原市,個人,紹介,ブロンズ,有,300万円未満,O000109,C00055,2025-03-25,配達完了,モバイルアプリ,スマホ決済,神奈川県,B2B5,726.49,36.32,0.0,690.17
107,C00055,2025-07-03,渡辺 陽翔,customer00055@example.jp,神奈川県,相模原市,個人,紹介,ブロンズ,有,300万円未満,O000231,C00055,2025-08-03,キャンセル,ウェブ,クレジットカード,神奈川県,WELCOME10,432.35,43.24,0.0,389.11
108,C00055,2025-07-03,渡辺 陽翔,customer00055@example.jp,神奈川県,相模原市,個人,紹介,ブロンズ,有,300万円未満,O000283,C00055,2024-04-11,配達完了,ウェブ,スマホ決済,神奈川県,WELCOME10,1308.72,130.87,0.0,1177.85
109,C00055,2025-07-03,渡辺 陽翔,customer00055@example.jp,神奈川県,相模原市,個人,紹介,ブロンズ,有,300万円未満,O000287,C00055,2025-01-29,発送済み,モール,スマホ決済,神奈川県,B2B5,275.14,13.76,0.0,261.38
110,C00056,2022-12-28,鈴木 葵,customer00056@example.jp,愛知県,豊田市,中小企業,紹介,ゴールド,無,300～500万円,,,,,,,,,,,,
111,C00057,2024-09-26,中村 結菜,customer00057@example.jp,東京都,千代田区,中小企業,自然検索,ゴールド,有,500～800万円,O000589,C00057,2025-05-19,配達完了,ウェブ,クレジットカード,東京都,,957.7,0.0,0.0,957.7
112,C00058,2022-07-23,渡辺 樹,customer00058@example.jp,北海道,札幌市,中小企業,SNS,シルバー,有,500～800万円,O000485,C00058,2024-11-27,配達完了,ウェブ,スマホ決済,北海道,,1202.41,0.0,0.0,1202.41
113,C00058,2022-07-23,渡辺 樹,customer00058@example.jp,北海道,札幌市,中小企業,SNS,シルバー,有,500～800万円,O000648,C00058,2024-08-04,配達完了,モール,スマホ決済,北海道,B2B5,543.56,27.18,0.0,516.38
114,C00058,2022-07-23,渡辺 樹,customer00058@example.jp,北海道,札幌市,中小企業,SNS,シルバー,有,500～800万円,O000655,C00058,2024-03-02,配達完了,ウェブ,銀行振込,北海道,,1154.24,0.0,0.0,1154.24
115,C00059,2022-12-28,佐藤 結菜,customer00059@example.jp,福岡県,北九州市,個人,自然検索,ブロンズ,有,"800～1,200万円",O000238,C00059,2025-01-26,配達完了,モバイルアプリ,銀行振込,福岡県,,805.96,0.0,0.0,805.96
116,C00059,2022-12-28,佐藤 結菜,customer00059@example.jp,福岡県,北九州市,個人,自然検索,ブロンズ,有,"800～1,200万円",O000486,C00059,2025-02-01,配達完了,ウェブ,銀行振込,福岡県,,757.65,0.0,0.0,757.65
117,C00060,2024-08-20,鈴木 蓮,customer00060@example.jp,福岡県,福岡市,個人,SNS,シルバー,有,500～800万円,O000124,C00060,2025-06-29,発送済み,モール,クレジットカード,福岡県,,1156.77,0.0,0.0,1156.77
118,C00060,2024-08-20,鈴木 蓮,customer00060@example.jp,福岡県,福岡市,個人,SNS,シルバー,有,500～800万円,O000195,C00060,2024-09-09,配達完了,ウェブ,スマホ決済,福岡県,SPRING15,238.51,35.78,0.0,202.73
